t;teta(t);wr(t);erreur;pwm
23500064;148.62;758.18;31.38;255.00
23550064;186.53;-292.93;-6.53;255.00
23600068;171.88;215.39;8.12;255.00
23650068;182.65;-198.16;-2.65;255.00
23700068;172.75;198.16;7.25;255.00
23750068;182.65;-180.93;-2.65;255.00
23800068;173.61;198.16;6.39;255.00
23850068;183.51;-180.93;-3.51;255.00
23900068;174.47;198.16;5.53;255.00
23950068;184.38;-189.55;-4.38;255.00
24000068;174.90;206.78;5.10;255.00
24050068;185.24;-189.55;-5.24;255.00
24100068;175.76;198.16;4.24;255.00
24150068;185.67;-206.78;-5.67;255.00
24200068;175.33;189.55;4.67;255.00
24250068;184.81;-180.93;-4.81;255.00
24300068;175.76;189.55;4.24;255.00
24350068;185.24;-180.93;-5.24;255.00
24400068;176.19;198.16;3.81;255.00
24450068;186.10;-198.16;-6.10;255.00
24500068;176.19;180.93;3.81;255.00
24550068;185.24;-189.55;-5.24;255.00
24600068;175.76;198.16;4.24;255.00
24650068;185.67;-198.16;-5.67;255.00
24700068;175.76;180.93;4.24;255.00
24750068;184.81;-206.78;-4.81;255.00
24800068;174.47;189.55;5.53;255.00
24850068;183.95;-189.55;-3.95;255.00
24900068;174.47;180.93;5.53;255.00
24950068;183.51;-206.78;-3.51;255.00
25000068;173.18;189.55;6.82;255.00
25050068;182.65;-189.55;-2.65;255.00
25100068;173.18;189.55;6.82;255.00
25150068;182.65;-198.16;-2.65;255.00
25200068;172.75;189.55;7.25;255.00
25250068;182.22;-189.55;-2.22;255.00
25300068;172.75;180.93;7.25;255.00
25350068;181.79;-206.78;-1.79;255.00
25400068;171.45;189.55;8.55;255.00
25450068;180.93;-189.55;-0.93;255.00
25500068;171.45;180.93;8.55;255.00
25550068;180.50;-206.78;-0.50;255.00
25600068;170.16;189.55;9.84;255.00
25650068;179.64;-189.55;0.36;255.00
25700068;170.16;180.93;9.84;255.00
25750068;179.21;198.16;0.79;255.00
25800068;189.11;-551.40;-9.11;255.00
25850068;161.54;241.24;18.46;255.00
25900068;173.61;215.39;6.39;255.00
25950068;184.38;-585.87;-4.38;255.00
26000068;155.08;258.47;24.92;255.00
26050068;168.01;215.39;11.99;255.00
26100068;178.78;585.87;1.22;255.00
26150068;208.07;-758.18;-28.07;255.00
26200072;170.16;292.93;9.84;255.00
26250072;184.81;-232.62;-4.81;255.00
26300072;173.18;198.16;6.82;255.00
26350072;183.08;-180.93;-3.08;255.00
26400072;174.04;198.16;5.96;255.00
26450072;183.95;-189.55;-3.95;255.00
26500072;174.47;189.55;5.53;255.00
26550072;183.95;-180.93;-3.95;255.00
26600072;174.90;189.55;5.10;255.00
26650072;184.38;-189.55;-4.38;255.00
26700072;174.90;198.16;5.10;255.00
26750072;184.81;-189.55;-4.81;255.00
26800072;175.33;189.55;4.67;255.00
26850072;184.81;-180.93;-4.81;255.00
26900072;175.76;189.55;4.24;255.00
26950072;185.24;-198.16;-5.24;255.00
27000072;175.33;189.55;4.67;255.00
27050072;184.81;-198.16;-4.81;255.00
27100072;174.90;189.55;5.10;255.00
27150072;184.38;-189.55;-4.38;255.00
27200072;174.90;189.55;5.10;255.00
27250072;184.38;-198.16;-4.38;255.00
27300072;174.47;180.93;5.53;255.00
27350076;183.51;-189.55;-3.51;255.00
27400076;174.04;215.39;5.96;255.00
27450076;184.81;-189.55;-4.81;255.00
27500076;175.33;206.78;4.67;255.00
27550076;185.67;-189.55;-5.67;255.00
27600076;176.19;206.78;3.81;255.00
27650076;186.53;-198.16;-6.53;255.00
27700076;176.62;215.39;3.38;255.00
27750076;187.39;-189.55;-7.39;255.00
27800076;177.91;198.16;2.09;255.00
27850076;187.82;-198.16;-7.82;255.00
27900076;177.91;198.16;2.09;255.00
27950076;187.82;-198.16;-7.82;255.00
28000076;177.91;198.16;2.09;255.00
28050076;187.82;-198.16;-7.82;255.00
28100076;177.91;206.78;2.09;255.00
28150076;188.25;-198.16;-8.25;255.00
28200076;178.35;198.16;1.65;255.00
28250076;188.25;-198.16;-8.25;255.00
28300076;178.35;206.78;1.65;255.00
28350076;188.68;-198.16;-8.68;255.00
28400076;178.78;206.78;1.22;255.00
28450076;189.11;-198.16;-9.11;255.00
28500076;179.21;-198.16;0.79;255.00
28550076;169.30;560.02;10.70;255.00
28600076;197.30;-249.86;-17.30;255.00
28650076;184.81;-198.16;-4.81;255.00
28700076;174.90;577.25;5.10;255.00
28750076;203.76;-249.86;-23.76;255.00
28800076;191.27;-206.78;-11.27;255.00
28850076;180.93;-585.87;-0.93;255.00
28900076;151.64;749.57;28.36;255.00
28950076;189.11;-310.17;-9.11;255.00
29000076;173.61;224.01;6.39;255.00
29050076;184.81;-189.55;-4.81;255.00
29100076;175.33;189.55;4.67;255.00
29150076;184.81;-180.93;-4.81;255.00
29200076;175.76;198.16;4.24;255.00
29250076;185.67;-180.93;-5.67;255.00
29300076;176.62;198.16;3.38;255.00
29350076;186.53;-189.55;-6.53;255.00
29400076;177.05;189.55;2.95;255.00
29450076;186.53;-198.16;-6.53;255.00
29500076;176.62;180.93;3.38;255.00
29550076;185.67;-189.55;-5.67;255.00
29600076;176.19;189.55;3.81;255.00
29650076;185.67;-198.16;-5.67;255.00
29700076;175.76;198.16;4.24;255.00
29750076;185.67;-189.55;-5.67;255.00
29800076;176.19;206.78;3.81;255.00
29850076;186.53;-189.55;-6.53;255.00
29900076;177.05;189.55;2.95;255.00
29950076;186.53;-198.16;-6.53;255.00
30000076;176.62;206.78;3.38;255.00
30050076;186.96;-180.93;-6.96;255.00
30100076;177.91;-206.78;2.09;255.00
30150076;167.58;560.02;12.42;255.00
30200076;195.58;-249.86;-15.58;255.00
30250076;183.08;-206.78;-3.08;255.00
30300076;172.75;585.87;7.25;255.00
30350076;202.04;-249.86;-22.04;255.00
30400076;189.55;-215.39;-9.55;255.00
30450076;178.78;-603.10;1.22;255.00
30500076;148.62;749.57;31.38;255.00
30550076;186.10;-301.55;-6.10;255.00
30600076;171.02;224.01;8.98;255.00
30650076;182.22;-189.55;-2.22;255.00
30700084;172.75;198.16;7.25;255.00
30750084;182.65;-198.16;-2.65;255.00
30800084;172.75;206.78;7.25;255.00
30850084;183.08;-180.93;-3.08;255.00
30900084;174.04;198.16;5.96;255.00
30950084;183.95;-189.55;-3.95;255.00
31000084;174.47;198.16;5.53;255.00
31050084;184.38;-189.55;-4.38;255.00
31100084;174.90;198.16;5.10;255.00
31150088;184.81;-198.16;-4.81;255.00
31200088;174.90;206.78;5.10;255.00
31250088;185.24;-189.55;-5.24;255.00
31300088;175.76;206.78;4.24;255.00
31350088;186.10;-198.16;-6.10;255.00
31400088;176.19;206.78;3.81;255.00
31450088;186.53;-198.16;-6.53;255.00
31500088;176.62;206.78;3.38;255.00
31550088;186.96;-198.16;-6.96;255.00
31600088;177.05;206.78;2.95;255.00
31650088;187.39;-189.55;-7.39;255.00
31700088;177.91;-206.78;2.09;255.00
31750088;167.58;560.02;12.42;255.00
31800088;195.58;-258.47;-15.58;255.00
31850088;182.65;-198.16;-2.65;255.00
31900088;172.75;585.87;7.25;255.00
31950088;202.04;-241.24;-22.04;255.00
32000088;189.98;-206.78;-9.98;255.00
32050088;179.64;-585.87;0.36;255.00
32100088;150.34;758.18;29.66;255.00
32150088;188.25;-301.55;-8.25;255.00
32200088;173.18;224.01;6.82;255.00
32250088;184.38;-180.93;-4.38;255.00
32300088;175.33;189.55;4.67;255.00
32350092;184.81;-180.93;-4.81;255.00
32400096;175.76;206.78;4.24;255.00
32450096;186.10;-180.93;-6.10;255.00
32500096;177.05;189.55;2.95;255.00
32550096;186.53;-189.55;-6.53;255.00
32600096;177.05;206.78;2.95;77.59
32650096;187.39;-310.17;-7.39;255.00
32700096;171.88;448.02;8.12;255.00
32750096;194.28;-206.78;-14.28;255.00
32800096;183.95;-198.16;-3.95;255.00
32850096;174.04;560.02;5.96;255.00
32900096;202.04;-232.62;-22.04;255.00
