t;teta(t);wr(t);erreur;pwm
30350092;175.33;120.62;4.67;255.00
30400092;181.36;249.86;-1.36;255.00
30450092;193.85;-292.93;-13.85;255.00
30500092;179.21;112.00;0.79;255.00
30550092;184.81;-120.62;-4.81;255.00
30600092;178.78;120.62;1.22;255.00
30650092;184.81;-103.39;-4.81;255.00
30700092;179.64;17.23;0.36;255.00
30750092;180.50;68.93;-0.50;255.00
30800092;183.95;-232.62;-3.95;255.00
30850092;172.31;77.54;7.69;255.00
30900092;176.19;112.00;3.81;255.00
30950092;181.79;241.24;-1.79;255.00
31000092;193.85;-301.55;-13.85;255.00
31050092;178.78;25.85;1.22;255.00
31100092;180.07;77.54;-0.07;255.00
31150092;183.95;-249.86;-3.95;255.00
31200092;171.45;43.08;8.55;255.00
31250092;173.61;60.31;6.39;255.00
31300092;176.62;258.47;3.38;255.00
31350092;189.55;-267.09;-9.55;255.00
31400092;176.19;103.39;3.81;255.00
31450092;181.36;112.00;-1.36;255.00
31500092;186.96;-284.32;-6.96;255.00
31550092;172.75;120.62;7.26;255.00
31600092;178.78;103.39;1.22;255.00
31650092;183.95;-258.47;-3.95;255.00
31700092;171.02;103.39;8.98;255.00
31750092;176.19;94.77;3.81;255.00
31800092;180.93;275.70;-0.93;255.00
31850092;194.72;-275.70;-14.72;255.00
31900092;180.93;103.39;-0.93;255.00
31950092;186.10;-94.77;-6.10;255.00
32000092;181.36;-86.16;-1.36;255.00
32050092;177.05;189.55;2.95;255.00
32100092;186.53;-155.08;-6.53;255.00
32150092;178.78;60.31;1.22;255.00
32200092;181.79;-112.00;-1.79;255.00
32250092;176.19;68.93;3.81;255.00
32300092;179.64;129.24;0.36;255.00
32350092;186.10;-232.62;-6.10;255.00
32400092;174.47;34.46;5.53;255.00
32450096;176.19;60.31;3.81;255.00
32500096;179.21;232.62;0.79;255.00
32550096;190.84;-301.55;-10.84;255.00
32600096;175.76;60.31;4.24;255.00
32650096;178.78;68.93;1.22;255.00
32700096;182.22;-267.09;-2.22;255.00
32750096;168.87;51.69;11.13;255.00
32800096;171.45;68.93;8.55;255.00
32850096;174.90;249.86;5.10;255.00
